guid	name	date	ward	sink	timepoint	type	mlst_unknown
513f0c3e-3db3-49a9-bfb7-9a3717772696	si_ec_C2_EAU_2_03/04/17_E3	2017-04-03	AA	C2	2.0	sink	ecoli 635
25b1188d-2fbe-4aa9-9009-a8bef295d4a4	si_ec_C6_EAU_2_03/04/17_E1	2017-04-03	AA	C6	2.0	sink	ecoli 635
58390524-9cff-4c96-a0f5-0bc6dd55c1c7	si_ec_C6_EAU_2_03/04/17_E2	2017-04-03	AA	C6	2.0	sink	ecoli 635
75e7a362-7152-4989-9152-a37490b98f9b	si_ec_C6_EAU_2_03/04/17_E3	2017-04-03	AA	C6	2.0	sink	ecoli 635
43d01560-45bd-4d3d-ab18-9dd375ab20b0	si_ec_C6_EAU_2_03/04/17_E4	2017-04-03	AA	C6	2.0	sink	ecoli 635
5f95d20c-48a8-47d0-a2ce-f52cec91a6ad	si_ec_C18_EAU_2_03/04/17_E1	2017-04-03	AA	C18	2.0	sink	ecoli 635
b4f7d324-471d-44da-8de4-2ff221e1054d	si_ec_C10_EAU_2_03/04/17_E5	2017-04-03	AA	C10	2.0	sink	ecoli 472
03297834-8d15-44e4-bd0d-38a0e234f8b5	si_ec_C10_EAU_2_03/04/17_E1	2017-04-03	AA	C10	2.0	sink	ecoli 635
82bf8e69-cf7c-4ce8-9e22-de575c539f56	si_ec_C10_EAU_2_03/04/17_E2	2017-04-03	AA	C10	2.0	sink	ecoli 635
218dbcc5-69b2-4776-b68b-5160be8e1c40	si_ec_C10_EAU_2_03/04/17_E3	2017-04-03	AA	C10	2.0	sink	ecoli 635
4978f41b-10ee-4a45-a0ee-3b203a884b14	si_ec_C10_EAU_2_03/04/17_E4	2017-04-03	AA	C10	2.0	sink	ecoli 635
21fcb2d4-0d2f-4b90-92ec-a900f0ba035f	si_ec_C14_EAU_2_03/04/17_E1	2017-04-03	AA	C14	2.0	sink	ecoli 635
092b70eb-3441-45ca-98fa-4e549fb794bc	si_ec_C14_EAU_2_03/04/17_E3	2017-04-03	AA	C14	2.0	sink	ecoli 635
1836150e-89fa-4401-94a9-c850cc47a41a	si_ec_C14_EAU_2_03/04/17_E5	2017-04-03	AA	C14	2.0	sink	ecoli 635
c0c61866-8a91-4242-b285-3644a7a9ef83	si_ec_C14_EAU_2_03/04/17_E6	2017-04-03	AA	C14	2.0	sink	ecoli 635
7bf11e2a-0455-4798-8dc0-13cf15815d67	si_ec_C14_EAU_2_03/04/17_E7	2017-04-03	AA	C14	2.0	sink	ecoli 635
6f389a8c-821e-444c-8a7c-a0d8be1555a2	si_ec_C5_EAU_2_03/04/17_E1	2017-04-03	AA	C5	2.0	sink	ecoli 635
57a195d5-0fdd-44be-b6ea-4c753991574f	si_ec_C5_EAU_2_03/04/17_E2	2017-04-03	AA	C5	2.0	sink	ecoli 635
05685e6a-3353-47b1-a867-2f6c933b92c5	si_ec_C5_EAU_2_03/04/17_E3	2017-04-03	AA	C5	2.0	sink	ecoli 635
4973e942-a1a2-4147-8144-7bb58bc10d5f	si_ec_C5_EAU_2_03/04/17_E4	2017-04-03	AA	C5	2.0	sink	ecoli 635
c1c7ff39-b275-443e-9cde-f34d31df3d8f	si_ec_C15_EAU_2_03/04/17_E2	2017-04-03	AA	C15	2.0	sink	ecoli 635
5d91c376-6e20-4901-842a-4d688430e37b	si_ec_A10_7B_3_18/04/17_E1	2017-04-18	GM	A10	3.0	sink	ecoli 635
44b7826b-a526-4c98-801f-d0edbd3b132e	si_ec_A10_7B_3_18/04/17_E2	2017-04-18	GM	A10	3.0	sink	ecoli 635
14c8291a-2f15-45ba-9e8a-7eb0ca3ca896	si_ec_A10_7B_3_18/04/17_E3	2017-04-18	GM	A10	3.0	sink	ecoli 635
9d766528-5fda-429a-8260-c0f7e085a8f9	si_ec_A10_7B_3_18/04/17_E4	2017-04-18	GM	A10	3.0	sink	ecoli 635
a6e24970-d435-4dde-905b-2581bb4e060d	si_ec_A3_7B_3_18/04/17_E1	2017-04-18	GM	A3	3.0	sink	ecoli 472
ab738093-e7e0-4ff4-ab9d-56188c8bf0ab	si_ec_A14_7B_3_18/04/17_E1	2017-04-18	GM	A14	3.0	sink	ecoli 635
0fd09c3a-4da8-4dcd-a823-34930a2a4a37	si_ec_A14_7B_3_18/04/17_E2	2017-04-18	GM	A14	3.0	sink	ecoli 635
712eab94-64c9-43d1-827b-21a8f6832ef4	si_ec_A14_7B_3_18/04/17_E3	2017-04-18	GM	A14	3.0	sink	ecoli 635
4dd1b2a8-b43a-4e3d-97fa-7c5b97c9ce6b	si_ec_A14_7B_3_18/04/17_E4	2017-04-18	GM	A14	3.0	sink	ecoli 635
4f6f44c4-f0a8-4f66-b9d3-aede5ee65a2e	si_ec_A25_7B_3_18/04/17_E1	2017-04-18	GM	A25	3.0	sink	ecoli 401
f85f26ed-3520-475c-8909-aa026da875fa	si_ec_A25_7B_3_18/04/17_E2	2017-04-18	GM	A25	3.0	sink	ecoli 401
1afbf5b5-8c57-4510-b8c9-5fa66f9b994b	si_ec_A25_7B_3_18/04/17_E3	2017-04-18	GM	A25	3.0	sink	ecoli 409
acb8fe6f-1b40-45d5-8772-eb6d4313099c	si_ec_A25_7B_3_18/04/17_E4	2017-04-18	GM	A25	3.0	sink	ecoli 409
d5d2c60a-3f3c-419f-8d13-a52ac5f85515	si_ec_A8_7B_3_18/04/17_E4	2017-04-18	GM	A8	3.0	sink	ecoli 472
03d85ba8-d254-4188-86bc-e97cf1f3c7c7	si_ec_B1_AICU_3_20/04/17_E1	2017-04-20	ACC	B1	3.0	sink	ecoli 635
9ceaadfa-ff8f-460f-891b-80f16ac94d23	si_ec_B1_AICU_3_20/04/17_E2	2017-04-20	ACC	B1	3.0	sink	ecoli 401
425fe967-dd63-4d73-9202-523661a3d903	si_ec_B1_AICU_3_20/04/17_E3	2017-04-20	ACC	B1	3.0	sink	ecoli 635
359e8538-15e3-404c-b85d-376448369118	si_ec_B1_AICU_3_20/04/17_E4	2017-04-20	ACC	B1	3.0	sink	ecoli 401
44b919c9-aa78-4667-b436-da4727ccf74b	si_ec_B16_AICU_3_20/04/17_E1	2017-04-20	ACC	B16	3.0	sink	ecoli 6188
6f7c34c4-d025-47eb-a104-843b1d828245	si_ec_B16_AICU_3_20/04/17_E2	2017-04-20	ACC	B16	3.0	sink	ecoli 6188
b1116e8b-fd89-44a1-84b2-de1e86e3b997	si_ec_B16_AICU_3_20/04/17_E3	2017-04-20	ACC	B16	3.0	sink	ecoli 6188
baa820ae-867a-4030-927c-744fe58a4644	si_ec_B12_AICU_3_20/04/17_E1	2017-04-20	ACC	B12	3.0	sink	ecoli 635
a357444d-46a3-4931-b745-502c6c319244	si_ec_B12_AICU_3_20/04/17_E2	2017-04-20	ACC	B12	3.0	sink	ecoli 635
c09f74f2-ea7c-43e9-a061-5437e951bb98	si_ec_B12_AICU_3_20/04/17_E3	2017-04-20	ACC	B12	3.0	sink	ecoli 401
9e8b9347-855d-41c6-ab14-d5beb5312a01	si_ec_B12_AICU_3_20/04/17_E4	2017-04-20	ACC	B12	3.0	sink	ecoli 635
ef50ca6b-2d3e-4015-84de-a113ded69d87	si_ec_C15_EAU_3_24/04/17_E1	2017-04-24	AA	C15	3.0	sink	ecoli 635
e96e3cda-8d2a-4e6b-b280-0154420b821a	si_ec_C15_EAU_3_24/04/17_E2	2017-04-24	AA	C15	3.0	sink	ecoli 635
0d2d8c91-8fc3-428b-84dd-446f33edaf9d	si_ec_C15_EAU_3_24/04/17_E3	2017-04-24	AA	C15	3.0	sink	ecoli 635
75071700-eca8-48ef-ab58-33a00301f19e	si_ec_C15_EAU_3_24/04/17_E4	2017-04-24	AA	C15	3.0	sink	ecoli 635
ced630c9-f63e-44ff-81c9-914425ec2590	si_ec_C6_EAU_3_24/04/17_E2	2017-04-24	AA	C6	3.0	sink	ecoli 635
32fcdc65-5b76-4fa7-86b6-335ac59d2eab	si_ec_C6_EAU_3_24/04/17_E3	2017-04-24	AA	C6	3.0	sink	ecoli 635
099b3a26-6f8c-428a-9e7f-2aa9a211a207	si_ec_C6_EAU_3_24/04/17_E4	2017-04-24	AA	C6	3.0	sink	ecoli 635
cf6ab635-eb05-43ef-81a0-1653f2b963d9	si_ec_C10_EAU_3_24/04/17_E1	2017-04-24	AA	C10	3.0	sink	ecoli 472
e5dc19c1-9545-49ff-92d3-d354e36fbbcf	si_ec_C10_EAU_3_24/04/17_E2	2017-04-24	AA	C10	3.0	sink	ecoli 472
41f69264-3b70-4a21-be17-0ce7b3d5ca92	si_ec_C10_EAU_3_24/04/17_E3	2017-04-24	AA	C10	3.0	sink	ecoli 472
9a80faa2-0135-41aa-bf9d-143ae4cf2c12	si_ec_C10_EAU_3_24/04/17_E4	2017-04-24	AA	C10	3.0	sink	ecoli 472
a22970be-f93d-44cc-bf11-28b8e6d85b91	si_ec_C14_EAU_3_24/04/17_E1	2017-04-24	AA	C14	3.0	sink	ecoli 635
27ad203e-c330-443c-9c9e-0c47aa8dd293	si_ec_C14_EAU_3_24/04/17_E2	2017-04-24	AA	C14	3.0	sink	ecoli 635
398b8894-5123-4cae-979b-7add822b381d	si_ec_C14_EAU_3_24/04/17_E3	2017-04-24	AA	C14	3.0	sink	ecoli 635
43013e60-e959-44c2-a9d0-369c27e5a22a	si_ec_C14_EAU_3_24/04/17_E4	2017-04-24	AA	C14	3.0	sink	ecoli 635
24f41bff-d1c0-4288-a26f-fea35ffffb0a	si_ec_A8_7B_4_08/05/17_E1	2017-05-08	GM	A8	4.0	sink	ecoli 472
247d8a2a-6d1a-4809-ae1a-7daa23ef52f3	si_ec_A8_7B_4_08/05/17_E2	2017-05-08	GM	A8	4.0	sink	ecoli 399
ed0a7a95-9038-4be2-8058-8e2e03a73463	si_ec_A10_7B_4_08/05/17_E1	2017-05-08	GM	A10	4.0	sink	ecoli 635
dae85ce7-12e8-433f-b3ba-b10a7f52eaa2	si_ec_A10_7B_4_08/05/17_E2	2017-05-08	GM	A10	4.0	sink	ecoli 635
52421548-238c-4920-b39f-8f5219533028	si_ec_A10_7B_4_08/05/17_E3	2017-05-08	GM	A10	4.0	sink	ecoli 635
04b27f49-dc4f-47df-9a5a-4acc64ccb67e	si_ec_A10_7B_4_08/05/17_E4	2017-05-08	GM	A10	4.0	sink	ecoli 399
df8f890f-c097-41c3-959c-8e90a86963d8	si_ec_A9_7B_4_08/05/17_E2	2017-05-08	GM	A9	4.0	sink	ecoli 399
786f8c66-5823-4088-8af0-e2f61edb47ab	si_ec_A9_7B_4_08/05/17_E3	2017-05-08	GM	A9	4.0	sink	ecoli 399
371cc641-bf83-4a1d-a5de-9f2df3a94f3e	si_ec_A9_7B_4_08/05/17_E4	2017-05-08	GM	A9	4.0	sink	ecoli 399
75dd4a26-6b53-4a64-9beb-35807f57c7dd	si_ec_A14_7B_4_08/05/17_E1	2017-05-08	GM	A14	4.0	sink	ecoli 635
77056dd9-4a8c-453b-9bd2-c63cdd01643e	si_ec_A14_7B_4_08/05/17_E3	2017-05-08	GM	A14	4.0	sink	ecoli 635
36f8631f-5868-4d33-9a56-09873e0d4464	si_ec_A14_7B_4_08/05/17_E4	2017-05-08	GM	A14	4.0	sink	ecoli 635
e2ccf028-3d8f-4b2b-983e-da4cae4f556c	si_ec_A25_7B_4_08/05/17_E1	2017-05-08	GM	A25	4.0	sink	ecoli 401
fb4018df-71e0-40a0-8083-185ed56b94b5	si_ec_A25_7B_4_08/05/17_E2	2017-05-08	GM	A25	4.0	sink	ecoli unk0
c81b8df2-1584-4561-904a-e149418d3eb9	si_ec_A25_7B_4_08/05/17_E4	2017-05-08	GM	A25	4.0	sink	ecoli 401
e371ee46-b3e1-4e2e-9cb4-8af3802f7e51	si_ec_D56_HAEM_1_12/05/17_E1	2017-05-12	HAEM	D56	1.0	sink	ecoli 401
0f7c8942-9583-45c7-a8f9-a1687b0e0a78	si_ec_D56_HAEM_1_12/05/17_E2	2017-05-12	HAEM	D56	1.0	sink	ecoli 401
79ec5126-31f0-4076-9c26-8a277bd0461b	si_ec_D56_HAEM_1_12/05/17_E3	2017-05-12	HAEM	D56	1.0	sink	ecoli 401
39500319-1a90-457a-a192-10d64f4fe80c	si_ec_D56_HAEM_1_12/05/17_E4	2017-05-12	HAEM	D56	1.0	sink	ecoli 401
38b31823-c569-4e8e-8517-8efe0dd00960	si_ec_D52_HAEM_1_12/05/17_E2	2017-05-12	HAEM	D52	1.0	sink	ecoli 176
94567a87-92f4-4418-a5c6-0104c1d27ede	si_ec_D52_HAEM_1_12/05/17_E3	2017-05-12	HAEM	D52	1.0	sink	ecoli 176
8a45f3c9-0615-45cd-96a4-04363632a138	si_ec_B12_AICU_4_10/05/17_E1	2017-05-10	ACC	B12	4.0	sink	ecoli 635
83745fa0-ed1f-43ac-8cb2-e92a2e15de4a	si_ec_B12_AICU_4_10/05/17_E2	2017-05-10	ACC	B12	4.0	sink	ecoli 401
0c5ce85e-f9d0-4806-af3e-cdc0a6543fb7	si_ec_B12_AICU_4_10/05/17_E3	2017-05-10	ACC	B12	4.0	sink	ecoli 635
07304ce3-a565-401d-ad25-713f98b21cf5	si_ec_B12_AICU_4_10/05/17_E4	2017-05-10	ACC	B12	4.0	sink	ecoli 401
e979ecdd-51af-4702-b85f-6e5061a48f77	si_ec_B1_AICU_4_10/05/17_E1	2017-05-10	ACC	B1	4.0	sink	ecoli 401
5db4586d-5d1c-44f0-b6f1-f7daacabbc33	si_ec_B1_AICU_4_10/05/17_E2	2017-05-10	ACC	B1	4.0	sink	ecoli 635
814fcffd-d4ab-49e1-a0c5-0e7367852faf	si_ec_B1_AICU_4_10/05/17_E3	2017-05-10	ACC	B1	4.0	sink	ecoli 401
57d8dee5-3b41-4b10-b83d-da5409ec3955	si_ec_B1_AICU_4_10/05/17_E4	2017-05-10	ACC	B1	4.0	sink	ecoli 635
1050b916-870c-4766-a15d-5869272e62ae	si_ec_C10_EAU_4_17/05/17_E1	2017-05-17	AA	C10	4.0	sink	ecoli 635
9df3fd75-64f7-4afb-b766-39da7d662858	si_ec_C10_EAU_4_17/05/17_E2	2017-05-17	AA	C10	4.0	sink	ecoli 635
d2170b81-a8c9-4e1f-8439-ab3aa873031c	si_ec_C10_EAU_4_17/05/17_E3	2017-05-17	AA	C10	4.0	sink	ecoli 472
8a5e2118-ff37-426e-8c0a-35bb94ca065d	si_ec_C10_EAU_4_17/05/17_E4	2017-05-17	AA	C10	4.0	sink	ecoli 472
d7b96d7b-e768-48f2-a2d6-2a33d27042b5	si_ec_C6_EAU_4_17/05/17_E1	2017-05-17	AA	C6	4.0	sink	ecoli 635
5046c56d-dccc-4246-81f6-135791431fe1	si_ec_C6_EAU_4_17/05/17_E2	2017-05-17	AA	C6	4.0	sink	ecoli 635
3859e44a-956f-4865-b4ca-26f4f1bdacae	si_ec_C6_EAU_4_17/05/17_E3	2017-05-17	AA	C6	4.0	sink	ecoli 635
f6e9de14-891b-4e95-9fad-60d37160ada8	si_ec_C6_EAU_4_17/05/17_E4	2017-05-17	AA	C6	4.0	sink	ecoli 635
8289a8e9-1397-495d-b982-1c3fc4998ad9	si_ec_C14_EAU_4_17/05/17_E1	2017-05-17	AA	C14	4.0	sink	ecoli 635
27ea39ef-ac5c-46ed-9f32-66f021429d23	si_ec_C5_EAU_4_17/05/17_E1	2017-05-17	AA	C5	4.0	sink	ecoli 635
d861bff7-91cd-400a-be5a-b2360923cb6b	si_ec_C5_EAU_4_17/05/17_E2	2017-05-17	AA	C5	4.0	sink	ecoli 635
bb0a5c0d-73e4-4132-b0c8-21b8e19a93d3	si_ec_C5_EAU_4_17/05/17_E3	2017-05-17	AA	C5	4.0	sink	ecoli 635
6190ac5c-363f-4a85-903e-1cf581f65fdb	si_ec_C5_EAU_4_17/05/17_E4	2017-05-17	AA	C5	4.0	sink	ecoli 635
65d6748a-efca-41ca-b68e-e4cb36fb525a	si_ec_C11_EAU_4_17/05/17_E1	2017-05-17	AA	C11	4.0	sink	ecoli 2795
f922a6a2-5822-4c57-9a94-a95980598841	si_ec_C11_EAU_4_17/05/17_E2	2017-05-17	AA	C11	4.0	sink	ecoli 2795
cf206395-2d5e-43a0-8343-7a91f15bec38	si_ec_C11_EAU_4_17/05/17_E3	2017-05-17	AA	C11	4.0	sink	ecoli 635
c11a12a4-199f-4b1f-9880-8d764031b9a7	si_ec_C11_EAU_4_17/05/17_E4	2017-05-17	AA	C11	4.0	sink	ecoli 635
3bfd1104-8918-4b5d-8832-e181ceccfc56	si_ec_C18_EAU_4_17/05/17_E1	2017-05-17	AA	C18	4.0	sink	ecoli 635
a290aa02-5f2d-446f-b7c8-485e05ffa24d	si_ec_C18_EAU_4_17/05/17_E2	2017-05-17	AA	C18	4.0	sink	ecoli 635
b88672a7-3d5d-4780-b876-2127aa751b22	si_ec_C18_EAU_4_17/05/17_E3	2017-05-17	AA	C18	4.0	sink	ecoli 635
3ec5f9e6-a51e-45ac-b433-e97de5f7d720	si_ec_C18_EAU_4_17/05/17_K1	2017-05-17	AA	C18	4.0	sink	ecoli 635
